,0,1
216,24,19
217,20,18
218,21,19
219,20,23
220,18,22
221,24,25
222,20,21
223,24,23
224,20,22
225,23,18
226,22,18
227,24,18
228,18,21
229,24,22
230,19,21
231,24,18
232,22,22
233,22,18
234,20,20
235,21,25
236,23,20
237,25,20
238,25,21
239,25,21
240,21,19
241,20,19
242,19,22
243,23,20
244,18,24
245,19,23
246,20,21
247,18,18
248,18,24
249,20,22
250,19,18
251,20,18
252,19,22
253,25,25
254,20,21
255,22,18
256,18,19
257,21,24
258,19,19
259,25,25
260,21,19
261,22,24
262,22,25
263,21,18
264,24,24
265,21,23
266,24,18
267,18,20
268,24,22
269,20,23
270,23,25
271,21,20
272,20,19
273,19,23
274,18,20
275,25,19
276,24,18
277,19,25
278,25,20
279,22,23
280,25,19
281,22,22
282,21,24
283,21,23
284,24,22
285,23,20
286,19,19
287,25,21
288,24,19
289,18,18
290,22,21
291,24,22
292,24,18
293,18,25
294,22,22
295,21,23
296,22,20
297,23,24
298,21,19
299,25,22
300,19,19
301,21,19
302,21,24
303,22,23
304,21,21
305,21,23
306,22,18
307,20,21
308,18,24
309,24,22
310,23,25
311,18,23
312,25,21
313,22,20
314,20,23
315,23,18
316,25,24
317,18,22
318,22,22
319,23,25
320,25,22
321,19,23
322,25,22
323,20,25
324,18,22
325,18,20
326,19,19
327,25,18
328,23,21
329,24,20
330,19,19
331,20,24
332,22,22
333,18,23
334,20,25
335,25,20
336,20,25
337,21,18
338,22,25
339,21,22
340,24,19
341,23,21
342,18,23
343,19,23
344,19,20
345,22,24
346,19,20
347,18,18
348,23,24
349,18,24
350,19,23
351,25,25
352,21,25
353,23,23
354,24,18
355,22,23
356,22,25
357,21,18
358,18,22
359,20,24
360,24,19
361,22,19
362,19,23
363,24,22
364,25,21
365,18,20
366,25,23
367,19,18
368,21,20
369,22,20
370,23,21
371,25,20
372,23,18
373,23,25
374,20,21
375,18,18
376,18,23
377,22,25
378,18,19
379,19,21
380,25,24
381,18,22
382,24,19
383,19,20
384,24,23
385,22,18
386,23,20
387,22,20
388,25,23
389,22,24
390,21,20
391,20,19
392,23,25
393,18,22
394,25,20
395,22,18
396,23,18
397,19,24
398,22,19
399,19,23
400,21,23
401,22,18
402,25,25
403,20,19
404,24,23
405,18,21
406,23,18
407,25,23
408,25,18
409,25,24
410,18,22
411,22,21
412,24,22
413,23,23
414,20,20
415,20,25
416,19,19
417,18,21
418,25,19
419,22,20
420,19,22
421,18,23
422,25,21
423,21,22
424,25,24
425,22,19
426,22,25
427,23,23
428,21,22
429,18,20
430,18,19
431,19,22
432,19,22
433,20,22
434,20,20
435,22,18
436,20,23
437,18,18
438,20,24
439,24,24
440,23,20
441,23,19
442,18,24
443,22,24
444,25,19
445,25,23
446,19,24
447,23,25
448,18,25
449,21,24
450,25,19
451,21,18
452,24,20
453,20,18
454,21,20
455,23,25
456,25,21
457,25,23
458,25,25
459,24,24
460,22,25
461,22,19
462,19,25
463,23,20
464,21,19
465,20,19
466,18,21
467,23,20
468,24,18
469,18,19
470,25,21
471,21,18
472,22,19
473,22,19
474,21,21
475,25,18
476,19,24
477,20,23
478,20,19
479,21,23
480,20,21
481,22,18
482,25,24
483,19,23
484,24,18
485,20,19
486,19,25
487,24,23
488,23,24
489,23,20
490,20,23
491,23,23
492,23,18
493,22,25
494,23,22
495,24,21
496,25,18
497,19,20
498,23,21
499,24,21
500,21,19
501,18,25
502,25,21
503,24,22
504,18,25
505,19,25
506,19,21
507,24,18
508,22,24
509,21,20
510,21,19
511,25,22
512,20,23
513,19,19
514,22,21
515,21,23
516,18,23
517,24,20
518,21,21
519,22,19
520,23,22
521,24,22
522,20,21
523,20,23
524,19,24
525,22,25
526,22,21
527,22,23
528,23,24
529,25,18
530,19,18
531,20,23
532,21,24
533,22,19
534,24,21
535,18,21
536,22,21
537,23,20
538,25,25
539,20,23
540,25,20
541,25,19
542,20,20
543,18,19
544,21,21
545,24,22
546,21,24
547,21,19
548,18,19
549,24,23
550,19,20
551,18,21
552,18,21
553,20,21
554,19,22
555,22,19
556,19,23
557,24,25
558,19,23
559,25,24
560,19,24
561,20,22
562,20,24
563,23,20
564,20,24
565,19,19
566,18,24
567,20,25
568,20,21
569,21,21
570,24,22
571,23,23
572,23,21
573,21,18
574,19,21
575,24,18
576,22,23
577,22,20
578,21,21
579,24,21
580,24,18
581,22,24
582,24,19
583,20,19
584,25,19
585,25,24
586,22,22
587,24,18
588,24,20
589,24,18
590,19,19
591,20,24
592,24,20
593,21,20
594,23,23
595,23,19
596,25,20
597,19,19
598,18,23
599,20,25
600,20,20
601,18,23
602,20,21
603,20,18
604,18,19
605,21,19
606,19,18
607,18,22
608,24,19
609,24,18
610,23,25
611,25,23
612,24,23
613,23,25
614,21,23
615,24,19
616,19,20
617,25,18
618,19,24
619,25,23
620,19,19
621,19,20
622,20,22
623,19,20
624,24,23
625,22,21
626,20,23
627,23,20
628,21,24
629,25,20
630,24,20
631,22,24
632,18,21
633,18,23
634,25,22
635,18,23
636,18,23
637,19,21
638,25,20
639,19,25
640,21,19
641,24,20
642,20,24
643,22,19
644,22,21
645,19,25
646,19,19
647,23,19
648,21,21
649,25,23
650,24,24
651,20,18
652,20,22
653,23,18
654,23,21
655,19,23
656,24,23
657,19,25
658,25,24
659,20,25
660,21,22
661,24,18
662,21,18
663,20,20
664,24,21
665,24,20
666,18,25
667,22,21
668,25,18
669,25,20
670,24,20
671,24,24
672,18,23
673,21,23
674,18,23
675,23,20
676,20,25
677,18,20
678,21,22
679,21,23
680,24,18
681,24,18
682,18,20
683,21,24
684,20,24
685,20,23
686,22,19
687,24,25
688,22,25
689,25,23
690,24,24
691,19,22
692,18,24
693,23,24
694,25,20
695,22,18
696,23,21
697,23,24
698,21,21
699,19,24
700,25,19
701,18,25
702,19,21
703,18,24
704,21,19
705,23,21
706,21,20
707,24,19
708,19,18
709,25,18
710,23,25
711,24,21
712,24,20
713,24,25
714,21,18
715,20,20
716,25,23
717,25,22
718,20,23
719,23,25
720,19,19
721,19,22
722,21,20
723,25,23
724,21,22
725,18,18
726,20,22
727,20,23
728,24,18
729,23,19
730,25,24
731,22,22
732,23,23
733,23,23
734,22,25
735,25,21
736,19,22
737,22,18
738,18,21
739,21,25
740,25,25
741,24,18
742,24,22
743,20,18
744,25,23
745,23,24
746,23,20
747,21,23
748,22,19
749,20,25
750,18,23
751,23,25
752,25,22
753,19,19
754,20,21
755,24,21
756,24,22
757,18,23
758,19,21
759,23,21
760,19,23
761,19,18
762,25,23
763,18,21
764,24,22
765,19,25
766,24,23
767,25,21
768,23,19
769,21,18
770,23,20
771,22,21
772,19,21
773,22,23
774,19,23
775,25,21
776,22,20
777,20,20
778,18,18
779,24,18
780,24,23
781,18,23
782,18,23
783,18,24
784,20,21
785,19,23
786,24,18
787,23,20
788,19,21
789,19,21
790,20,24
791,22,25
792,18,23
793,25,18
794,19,21
795,19,18
796,22,21
797,25,18
798,24,18
799,22,20
