,0,1,2,3,4,5
93,20,24,21,21,23,19
94,20,18,22,24,18,18
95,25,25,19,18,25,18
96,23,18,24,23,19,24
97,23,19,22,20,21,21
98,22,19,23,19,20,24
99,21,22,25,24,25,22
100,18,20,21,22,19,22
101,20,24,22,18,23,20
102,24,25,19,21,21,22
103,24,21,21,20,25,24
104,24,20,23,18,24,18
105,23,21,19,25,24,21
106,21,23,22,22,22,24
107,24,20,23,18,18,23
108,21,22,20,25,19,20
109,18,21,21,19,23,18
110,23,18,24,18,21,20
111,22,21,19,21,24,22
112,18,22,18,20,20,18
113,19,22,22,20,21,24
114,25,22,21,22,21,20
115,22,24,22,23,19,23
116,22,23,18,18,21,24
117,25,22,19,20,24,20
118,22,22,25,18,20,22
119,20,22,20,20,25,23
120,18,19,21,21,19,18
121,23,25,25,23,25,19
122,21,23,18,23,25,20
123,24,25,20,21,25,18
124,22,21,19,18,18,23
125,18,21,19,23,18,22
126,23,18,18,25,24,20
127,24,22,23,18,23,18
128,19,23,24,21,21,22
129,19,21,21,23,25,23
130,21,19,25,24,23,18
131,20,21,22,23,19,25
132,24,21,22,24,22,20
133,23,23,25,22,24,23
134,25,24,18,19,19,18
135,18,25,23,23,22,23
136,19,24,23,19,19,24
137,22,25,20,21,18,18
138,18,19,20,22,18,24
139,20,20,19,25,25,25
140,24,23,25,18,18,24
141,25,25,20,21,20,25
142,23,23,21,24,21,24
143,25,18,23,20,24,25
144,25,21,19,23,19,21
145,19,25,21,24,25,19
146,18,24,21,19,19,21
147,22,20,24,20,25,24
148,21,25,23,20,24,20
149,22,25,20,21,24,18
150,18,20,18,21,22,18
151,19,23,25,19,21,20
152,25,21,21,19,24,22
153,19,25,24,18,23,25
154,25,21,22,22,25,23
155,25,18,22,25,18,24
156,24,21,18,24,24,19
157,25,23,21,24,24,24
158,25,19,23,23,22,21
159,19,23,22,22,23,24
160,22,25,22,25,21,18
161,18,21,18,22,22,25
162,23,18,20,18,24,22
163,19,19,20,20,18,22
164,23,24,19,24,22,19
165,24,18,25,19,22,22
166,25,25,20,23,19,18
167,24,20,19,19,22,20
168,20,19,18,22,18,19
169,20,24,25,21,23,24
170,21,25,24,21,20,22
171,19,21,21,22,18,23
172,20,19,20,21,19,18
173,20,19,18,18,25,22
174,20,20,18,25,22,25
175,18,24,22,22,20,20
176,22,23,25,25,24,18
177,18,24,24,22,21,18
178,24,25,22,23,23,18
179,18,24,24,20,19,24
180,22,21,20,25,24,20
181,20,22,22,22,25,21
182,21,22,22,20,23,19
183,23,22,24,24,18,22
184,23,24,23,18,24,23
185,24,24,21,19,22,25
186,25,21,22,25,21,22
187,25,21,20,21,25,20
188,18,23,24,21,25,24
189,24,18,18,25,23,24
190,20,22,21,25,25,20
191,23,24,20,19,20,23
192,22,24,20,21,25,23
193,22,20,21,25,20,21
194,24,25,18,20,20,21
195,19,21,21,18,25,18
196,22,20,23,25,20,20
197,23,18,22,20,18,25
198,18,21,18,21,21,23
199,18,18,23,25,19,18
200,21,25,18,22,22,19
201,18,23,23,25,25,18
202,18,21,22,25,21,24
203,24,24,25,19,22,22
204,23,19,18,18,18,24
205,18,23,18,18,23,18
206,23,23,24,20,20,18
207,21,22,25,18,19,20
208,21,22,24,25,25,25
209,22,25,20,23,21,21
210,22,24,20,18,22,23
211,21,21,25,25,24,25
212,22,18,24,25,20,18
213,18,23,19,19,23,18
214,20,20,25,18,19,19
215,19,19,21,19,18,21
216,25,20,20,19,18,21
217,25,20,20,22,25,20
218,23,18,19,21,18,19
219,19,25,24,19,24,20
220,24,23,24,25,23,21
221,22,24,23,19,19,18
222,18,19,18,22,21,18
223,19,22,18,18,21,22
224,18,18,19,25,22,24
225,18,23,18,24,23,22
226,20,24,22,24,18,19
227,21,19,23,23,21,24
228,24,22,18,20,24,18
229,20,21,24,24,22,24
230,22,20,24,24,20,24
231,23,23,22,19,18,19
232,23,24,18,18,19,18
233,20,20,25,20,21,20
234,21,18,24,22,19,20
235,23,25,18,18,25,21
236,19,20,24,22,24,24
237,20,18,18,18,21,21
238,22,18,25,25,25,21
239,20,24,20,22,20,23
240,25,22,20,20,20,19
241,24,20,25,24,25,24
242,22,19,20,18,22,21
243,18,19,19,25,19,25
244,21,19,22,25,21,24
245,25,18,22,23,20,21
246,22,23,23,24,24,23
247,18,22,19,23,24,21
248,20,22,20,25,19,18
249,25,20,21,18,18,23
250,19,25,22,21,23,25
251,25,23,18,22,21,19
252,23,25,23,21,18,19
253,23,22,19,20,23,22
254,23,25,24,25,18,19
255,19,22,22,22,25,21
256,20,20,24,23,22,25
257,19,21,20,21,24,21
258,19,19,19,22,20,22
259,18,24,20,24,24,25
260,21,21,24,25,22,23
261,19,19,21,22,19,18
262,21,19,25,22,22,21
263,20,25,20,20,25,19
264,19,22,23,20,18,22
265,21,22,18,22,24,22
266,19,19,21,24,24,23
267,21,25,23,21,23,20
268,18,20,23,24,24,18
269,18,21,24,21,19,23
270,18,23,24,25,25,20
271,23,22,22,19,24,22
272,22,23,20,24,19,20
273,25,23,24,25,23,19
274,24,21,24,20,22,22
275,20,20,19,19,22,22
276,21,25,19,19,21,24
277,21,22,21,19,25,23
278,21,25,24,19,19,18
279,19,18,24,20,24,22
280,24,21,18,21,21,20
281,25,18,19,22,21,23
282,19,18,18,20,19,23
283,18,21,19,18,18,23
284,18,22,21,25,21,24
285,25,19,20,24,19,19
286,25,24,22,19,21,24
287,18,23,21,23,22,18
288,18,25,21,19,19,21
289,24,25,22,25,20,24
290,23,22,23,21,24,20
291,23,18,22,24,21,21
292,25,21,23,18,24,20
293,18,24,24,18,23,23
294,23,18,21,25,24,20
295,22,20,23,19,21,23
296,21,20,24,25,19,24
297,21,24,22,21,23,23
298,19,24,23,20,23,21
299,23,20,21,25,25,21
300,21,25,19,19,24,25
301,22,24,18,22,18,21
302,22,23,25,23,18,24
303,20,19,19,22,23,22
304,18,24,22,25,24,20
305,23,25,25,18,21,23
306,20,19,24,18,24,25
307,23,25,23,22,19,22
308,24,19,18,18,21,23
309,18,18,22,25,21,24
310,19,25,20,24,18,19
311,24,19,21,20,25,23
312,18,20,20,18,25,22
313,21,18,25,22,23,22
314,19,22,22,24,19,22
315,21,25,25,21,22,21
316,25,22,20,24,22,20
317,19,18,23,24,23,22
318,22,19,20,25,20,22
319,18,18,21,23,22,20
320,21,21,25,24,25,22
321,23,22,18,23,19,22
322,25,18,25,21,24,23
323,24,25,18,21,25,22
324,20,25,21,23,22,25
325,21,23,23,18,23,18
326,25,20,22,25,23,24
327,24,18,22,23,25,22
328,25,19,18,23,19,19
329,22,25,18,20,18,21
330,19,20,23,21,25,24
331,18,19,21,23,23,21
332,25,23,23,22,19,18
333,25,25,19,18,18,25
334,20,24,21,20,20,21
335,25,20,18,22,21,19
336,19,20,19,25,18,20
337,18,22,22,24,25,23
338,20,20,22,23,22,21
339,25,19,19,20,20,20
340,25,20,18,23,22,21
341,21,19,25,19,25,21
342,25,21,24,25,18,21
343,24,25,19,25,20,24
344,21,18,23,21,23,23
345,21,25,25,25,24,25
346,24,23,19,18,25,25
347,25,25,23,23,23,23
348,22,21,24,18,20,23
349,23,20,23,24,20,21
350,19,25,25,22,23,25
351,23,24,19,21,22,20
352,20,25,21,23,24,22
353,21,18,25,18,20,20
354,18,19,20,24,24,25
355,18,19,20,18,19,18
356,18,22,18,20,22,21
357,19,19,24,20,19,18
358,19,25,24,24,18,23
359,21,19,25,22,21,19
360,22,20,25,22,18,18
361,24,18,22,18,24,25
362,22,21,22,25,21,21
363,22,19,19,25,25,23
364,18,18,19,18,19,18
365,23,23,23,24,19,21
366,21,20,20,24,24,22
367,23,19,22,25,18,24
368,20,20,23,19,25,18
369,22,20,22,18,20,24
370,21,21,20,23,25,23
371,21,22,18,18,19,20
372,18,20,21,20,25,23
373,25,25,21,25,25,19
374,23,20,24,25,21,21
375,18,18,19,20,20,23
376,19,25,24,20,23,22
377,21,19,18,21,22,19
378,24,18,22,23,20,19
379,21,25,24,22,24,23
380,20,18,21,21,22,21
381,18,25,24,21,25,19
382,24,25,20,24,18,22
383,21,18,18,23,22,22
384,20,18,23,22,22,21
385,24,24,24,24,19,23
386,25,25,22,18,23,23
387,18,23,19,21,25,25
388,22,22,20,20,24,24
389,18,20,23,24,24,25
390,25,18,18,20,23,23
391,20,21,25,19,25,21
392,25,23,25,22,20,25
393,25,21,19,24,20,22
394,25,23,22,21,19,21
395,21,20,25,24,20,24
396,25,24,24,20,20,22
397,22,18,20,19,23,19
398,24,22,19,24,23,19
399,22,20,19,19,21,23
400,18,22,20,18,24,23
401,21,18,20,18,23,22
402,22,22,18,25,21,19
403,20,23,18,20,24,24
404,21,21,20,20,23,24
405,20,21,20,18,22,20
406,19,23,25,25,22,25
407,20,18,22,19,19,18
408,24,20,23,22,21,24
409,25,20,20,24,25,21
410,18,23,18,19,22,22
411,25,18,23,24,21,22
412,19,21,22,22,24,23
413,20,22,25,23,22,19
414,22,23,18,23,25,25
415,19,24,23,19,23,18
416,18,19,18,24,20,24
417,18,24,20,22,20,24
418,22,22,25,19,20,24
419,25,24,24,18,25,18
420,18,20,22,20,20,25
421,19,19,21,24,19,21
422,22,25,24,21,22,23
423,24,20,25,18,24,23
424,21,21,23,21,20,22
425,19,22,22,24,18,22
426,25,25,18,19,25,18
427,19,22,23,23,25,20
428,18,21,20,21,22,21
429,25,22,19,21,23,19
430,19,22,18,20,18,18
431,25,21,18,19,20,20
432,22,21,22,21,25,18
433,18,23,19,23,24,18
434,25,24,25,19,25,23
435,25,25,19,23,23,18
436,23,19,21,19,23,21
437,21,20,20,18,18,24
438,25,18,20,23,18,22
439,24,23,21,22,23,24
440,20,25,24,18,25,21
441,23,18,18,20,24,25
442,19,23,21,19,22,24
443,21,21,24,23,19,24
444,19,19,19,21,19,19
445,18,23,21,19,23,21
446,21,22,20,18,22,18
447,25,18,19,20,24,25
448,25,24,23,24,23,25
449,19,20,20,22,21,21
450,23,20,19,23,18,18
451,22,22,19,21,19,22
452,22,21,20,19,22,19
453,21,23,25,23,22,21
454,22,22,22,24,20,25
455,23,22,24,21,19,19
456,20,24,20,23,21,19
457,20,24,21,19,23,21
458,24,18,22,24,18,23
459,24,23,24,22,18,18
460,23,25,18,22,19,19
461,18,23,21,22,24,18
462,18,19,22,22,22,24
463,21,25,20,25,23,21
464,23,19,23,21,25,21
465,19,19,25,25,25,24
466,18,20,23,22,20,19
467,20,20,18,20,20,19
468,23,21,25,24,24,22
469,18,22,19,21,23,19
470,19,23,25,19,22,25
471,25,25,18,21,20,22
472,20,22,18,21,19,24
473,25,18,25,23,18,18
474,18,19,22,24,19,25
475,25,20,21,20,18,18
476,18,24,22,19,18,21
477,21,25,22,19,18,24
478,25,22,24,24,22,18
479,24,24,19,20,24,25
480,21,24,23,21,22,25
481,20,23,23,20,20,21
482,25,25,21,20,25,24
483,20,23,19,25,21,18
484,25,25,25,19,20,19
485,20,22,18,25,22,22
486,21,24,25,23,19,19
487,25,18,18,19,18,22
488,24,22,22,24,19,22
489,19,19,25,24,18,23
490,24,21,23,19,24,24
491,19,22,24,19,20,18
492,21,24,24,23,18,21
493,18,21,25,19,20,18
494,25,22,25,22,19,22
495,22,18,24,18,18,24
496,20,21,22,21,23,21
497,25,25,24,21,25,23
498,25,18,22,24,23,24
499,22,21,21,19,19,20
500,21,25,18,21,21,21
501,18,22,22,21,19,18
502,24,20,18,22,20,22
503,23,25,18,21,23,23
504,19,22,20,25,23,22
505,24,19,20,21,25,25
506,24,21,20,25,20,22
507,21,18,24,25,25,18
508,23,25,24,18,22,23
509,20,18,18,25,22,20
510,22,23,24,22,22,24
511,25,22,19,20,20,24
512,20,23,20,18,18,20
513,23,24,22,18,21,19
514,18,21,25,24,21,20
515,24,23,23,20,20,23
516,23,20,21,24,20,24
517,21,18,25,23,19,18
518,20,21,24,23,20,25
519,22,24,23,23,19,24
520,24,19,18,21,21,21
521,20,20,20,20,19,21
522,20,23,18,18,20,22
523,21,18,18,24,24,18
524,21,19,23,23,19,20
525,25,25,22,24,19,20
526,23,21,20,22,25,20
527,21,21,23,22,22,23
528,21,19,20,25,21,19
529,25,25,25,21,22,18
530,19,21,20,19,18,22
531,24,21,20,23,18,19
532,22,22,21,18,18,18
533,20,24,24,18,20,24
534,19,22,22,21,23,20
535,24,22,20,20,18,18
536,25,20,18,18,20,25
537,22,23,23,18,21,22
538,20,18,20,25,19,20
539,19,22,20,21,21,19
540,19,22,22,19,19,21
541,22,19,23,23,25,25
542,19,20,24,24,21,25
543,22,23,21,20,20,25
544,21,24,22,19,21,25
545,21,21,18,21,20,18
546,20,25,18,20,22,21
547,22,19,25,22,24,18
548,20,24,19,24,19,22
549,19,22,23,23,21,24
550,19,23,21,25,24,22
551,21,25,18,20,24,22
552,19,20,19,21,24,18
553,22,23,20,23,21,25
554,24,21,21,20,18,23
555,24,22,23,19,20,22
556,24,20,25,20,25,20
557,20,21,25,22,25,25
558,18,19,20,21,22,24
559,21,21,21,19,22,18
560,24,19,23,18,19,20
561,22,21,22,23,22,18
562,24,20,22,24,25,25
563,18,23,25,25,22,23
564,23,21,22,23,23,21
565,20,22,20,22,24,21
566,24,18,18,18,20,21
567,22,19,18,19,25,21
568,21,19,25,20,24,23
569,19,18,23,21,19,19
570,23,23,23,24,24,21
571,25,19,20,18,25,24
572,18,21,19,19,22,24
573,23,23,19,18,20,23
574,21,21,21,22,24,20
575,23,19,22,25,22,25
576,24,21,19,19,21,18
577,25,24,21,22,18,23
578,20,21,19,22,22,24
579,19,19,25,22,18,19
580,22,22,23,22,25,20
581,18,24,22,19,22,23
582,21,18,22,21,18,22
583,24,23,21,24,20,23
584,25,18,19,24,19,21
585,20,25,18,24,19,18
586,22,20,23,21,20,18
587,20,25,23,18,22,23
588,19,18,24,20,25,21
589,24,24,24,19,23,23
590,22,25,20,18,24,19
591,18,19,24,25,21,22
592,24,20,20,22,24,18
593,25,24,21,18,18,21
594,22,19,21,20,19,19
595,21,24,19,18,20,19
596,19,18,20,20,25,24
597,25,19,24,18,18,24
598,25,22,25,22,22,22
599,19,20,25,23,25,23
