,0,1,2,3
115,21,19,18,23
116,22,25,20,24
117,22,18,24,22
118,18,22,25,23
119,20,25,22,18
120,21,21,22,24
121,22,24,20,23
122,25,22,18,25
123,19,18,22,18
124,25,20,23,22
125,19,21,24,25
126,24,23,21,22
127,25,22,22,19
128,22,25,20,20
129,25,23,23,19
130,25,19,22,19
131,24,19,22,25
132,18,25,22,23
133,21,18,18,25
134,20,20,22,18
135,19,22,22,19
136,21,19,21,25
137,24,24,18,18
138,18,19,25,21
139,24,22,19,25
140,24,21,18,19
141,21,19,21,24
142,21,25,23,18
143,20,24,24,20
144,19,22,18,23
145,25,21,21,20
146,21,18,23,22
147,25,25,25,21
148,20,20,18,20
149,24,25,24,19
150,20,21,23,25
151,22,25,25,24
152,25,20,18,23
153,23,24,23,18
154,19,20,20,20
155,19,24,22,25
156,24,20,25,20
157,19,20,19,25
158,25,18,22,22
159,22,24,19,25
160,25,18,25,23
161,24,23,18,21
162,19,20,21,25
163,22,19,22,25
164,20,18,19,21
165,25,19,18,24
166,19,24,21,22
167,24,20,25,25
168,19,18,18,18
169,23,24,23,19
170,20,19,23,18
171,20,25,22,22
172,18,19,19,22
173,24,23,20,20
174,25,18,19,19
175,18,19,21,21
176,20,18,19,20
177,20,25,23,21
178,22,25,24,24
179,23,23,19,24
180,23,25,21,21
181,20,24,22,19
182,21,23,25,18
183,18,19,18,19
184,22,22,22,20
185,20,18,24,20
186,20,20,20,21
187,25,20,23,19
188,18,21,19,25
189,24,19,23,25
190,23,18,19,22
191,18,23,22,20
192,20,22,21,20
193,18,20,20,22
194,23,19,18,21
195,24,21,25,25
196,25,19,20,22
197,23,18,24,24
198,25,18,21,23
199,18,22,23,24
200,18,23,24,20
201,25,24,18,18
202,19,18,23,20
203,20,22,19,19
204,18,19,18,19
205,24,21,19,19
206,19,25,24,23
207,21,25,25,21
208,23,22,25,22
209,20,20,21,25
210,23,23,24,21
211,20,21,24,20
212,24,21,23,23
213,20,25,25,20
214,19,18,23,23
215,24,19,23,22
216,25,18,20,20
217,25,23,22,18
218,18,20,21,23
219,25,19,23,21
220,22,21,20,22
221,21,21,18,20
222,23,18,19,18
223,25,22,22,23
224,18,21,20,23
225,21,23,19,23
226,25,18,19,22
227,18,24,20,20
228,25,19,25,22
229,20,24,18,19
230,21,25,18,20
231,25,22,22,19
232,20,22,25,22
233,25,23,19,23
234,23,25,21,20
235,18,18,22,20
236,22,19,20,24
237,20,20,22,19
238,23,18,24,23
239,23,18,20,24
240,19,19,25,24
241,21,24,25,18
242,21,21,22,22
243,23,25,25,25
244,24,21,24,22
245,25,19,24,24
246,19,19,21,24
247,24,18,19,20
248,19,21,24,18
249,21,24,20,23
250,19,25,24,25
251,19,25,20,19
252,25,19,20,23
253,20,23,25,22
254,20,20,19,19
255,19,20,21,20
256,24,19,25,24
257,21,20,22,25
258,19,24,18,19
259,20,20,23,18
260,22,23,22,23
261,21,21,19,22
262,25,20,20,22
263,20,24,21,24
264,19,24,19,23
265,25,21,19,21
266,20,21,24,20
267,21,22,19,20
268,18,25,22,22
269,25,18,24,23
270,22,21,24,23
271,23,23,25,24
272,23,19,25,24
273,23,25,18,19
274,21,20,24,19
275,20,25,25,20
276,21,24,25,18
277,22,22,24,18
278,24,18,18,24
279,22,23,23,22
280,21,25,18,18
281,24,25,18,24
282,23,24,25,20
283,20,24,24,19
284,21,25,24,21
285,19,18,18,20
286,24,18,23,19
287,23,21,24,25
288,25,25,19,18
289,20,20,20,20
290,21,22,19,24
291,23,20,18,18
292,22,22,18,21
293,25,20,24,22
294,21,25,24,24
295,23,21,23,18
296,23,24,19,18
297,23,18,25,22
298,19,18,24,22
299,23,22,18,19
300,24,20,23,21
301,22,25,20,22
302,18,21,25,22
303,18,20,25,22
304,19,19,21,25
305,22,25,18,24
306,18,22,21,19
307,23,20,18,24
308,20,22,25,25
309,25,24,24,18
310,18,25,22,18
311,20,21,20,20
312,19,23,22,23
313,19,20,23,24
314,18,21,22,23
315,19,22,22,23
316,22,22,18,20
317,22,25,20,23
318,18,25,18,21
319,22,24,18,20
320,20,21,19,23
321,23,24,21,25
322,25,23,24,20
323,24,18,19,18
324,25,18,23,23
325,23,25,20,19
326,25,25,24,23
327,19,18,22,18
328,21,23,25,24
329,20,20,20,23
330,25,25,18,24
331,20,22,18,21
332,19,18,21,23
333,22,25,19,19
334,21,24,23,18
335,24,23,24,21
336,23,22,20,23
337,25,19,18,21
338,21,20,19,21
339,19,25,23,22
340,21,20,19,18
341,18,24,20,21
342,23,18,24,18
343,18,19,22,23
344,22,24,23,21
345,20,24,25,18
346,24,21,21,24
347,21,19,21,25
348,23,23,21,18
349,22,20,19,21
350,25,18,19,18
351,24,20,24,19
352,23,20,18,23
353,21,19,18,20
354,19,19,20,18
355,19,20,24,20
356,24,23,23,24
357,25,24,21,25
358,24,19,19,19
359,18,25,25,20
360,23,24,23,18
361,25,25,22,24
362,22,22,24,22
363,19,18,21,24
364,20,18,18,21
365,20,25,18,24
366,24,24,25,19
367,24,23,20,25
368,18,19,21,23
369,21,20,19,25
370,21,18,18,19
371,25,25,18,19
372,19,21,21,24
373,20,25,18,22
374,25,20,24,21
375,20,24,22,22
376,25,25,18,21
377,18,19,20,22
378,18,20,23,25
379,19,20,18,22
380,19,25,18,23
381,23,20,18,23
382,20,19,24,18
383,23,19,22,21
384,20,24,20,25
385,21,18,22,22
386,20,24,23,22
387,18,21,21,21
388,25,24,19,23
389,25,20,24,24
390,25,24,21,23
391,24,18,24,25
392,23,24,20,24
393,18,20,21,19
394,20,23,19,19
395,19,21,21,19
396,18,23,20,25
397,21,24,23,21
398,25,18,24,18
399,21,19,19,19
400,18,24,23,25
401,24,20,21,25
402,18,24,20,19
403,21,22,18,18
404,19,18,25,19
405,24,20,19,22
406,19,25,18,21
407,24,21,23,24
408,25,19,22,18
409,22,23,23,22
410,21,24,18,22
411,22,21,23,19
412,24,19,19,22
413,22,20,22,24
414,25,19,22,18
415,25,23,18,25
416,21,22,18,22
417,21,19,23,22
418,22,24,20,22
419,24,19,23,21
420,24,22,21,25
421,19,23,22,25
422,19,18,25,21
423,24,18,20,21
424,20,24,18,25
425,23,23,23,19
426,23,20,19,22
427,20,22,24,25
428,22,18,25,19
429,25,23,20,25
430,23,21,19,20
431,18,24,20,25
432,19,20,23,19
433,25,20,25,19
434,19,25,20,24
435,24,19,22,20
436,24,22,25,24
437,24,18,22,21
438,24,18,23,21
439,23,25,25,19
440,23,22,19,22
441,19,19,22,21
442,18,19,25,19
443,22,24,25,21
444,22,18,18,18
445,19,19,20,23
446,19,18,19,25
447,18,22,23,18
448,19,24,22,24
449,20,19,24,21
450,20,20,19,25
451,24,24,21,23
452,24,18,19,18
453,21,20,25,22
454,25,23,20,20
455,24,21,18,21
456,24,20,18,25
457,19,20,23,18
458,25,18,21,25
459,19,18,25,24
460,22,19,19,24
461,20,25,18,25
462,23,22,22,19
463,24,18,18,23
464,21,20,24,21
465,25,19,25,20
466,21,25,19,23
467,21,18,19,25
468,20,25,25,18
469,23,21,25,23
470,18,23,18,25
471,25,18,22,23
472,24,23,25,23
473,25,19,22,19
474,18,20,25,21
475,20,21,23,21
476,20,20,23,22
477,23,21,21,25
478,24,20,20,24
479,21,22,18,19
480,23,25,25,18
481,19,20,20,23
482,23,21,24,23
483,23,20,18,23
484,19,18,19,18
485,25,22,22,20
486,25,22,19,23
487,22,24,25,21
488,22,23,22,20
489,18,19,18,25
490,23,21,21,21
491,25,25,22,22
492,18,25,25,24
493,25,23,22,23
494,24,19,22,23
495,20,25,24,18
496,20,25,25,19
497,25,23,24,21
498,19,21,22,21
499,23,22,23,24
500,19,24,23,25
501,20,24,18,19
502,20,24,23,18
503,19,24,20,25
504,24,25,21,21
505,22,18,21,25
506,23,24,18,19
507,22,19,20,19
508,25,23,23,19
509,21,24,21,23
510,23,23,23,21
511,25,22,24,19
512,22,24,24,19
513,18,24,25,23
514,18,20,20,23
515,20,22,20,22
516,23,22,22,24
517,22,19,18,25
518,20,21,22,20
519,23,24,23,23
520,24,21,24,24
521,18,20,24,24
522,20,24,25,21
523,21,24,25,19
524,18,21,18,21
525,25,24,24,23
526,24,19,24,18
527,25,25,22,20
528,23,22,25,20
529,18,21,23,18
530,22,18,19,20
531,18,19,21,21
532,20,21,23,21
533,18,25,18,20
534,23,25,22,23
535,25,20,20,23
536,18,21,23,25
537,18,19,18,25
538,23,21,20,23
539,21,21,23,23
540,23,18,18,25
541,23,20,21,20
542,22,24,20,24
543,24,24,23,21
544,20,19,22,20
545,21,18,19,19
546,22,23,18,21
547,22,19,21,24
548,20,25,22,21
549,20,22,21,21
550,22,20,24,22
551,21,18,18,24
552,18,20,21,25
553,21,24,21,19
554,25,22,22,24
555,20,22,18,22
556,25,23,19,21
557,25,19,22,18
558,21,24,18,19
559,21,24,19,23
560,24,25,24,25
561,21,20,18,20
562,20,22,24,25
563,20,25,20,21
564,22,19,21,22
565,18,21,23,20
566,21,24,18,24
567,21,24,25,22
568,23,22,22,20
569,18,25,25,22
570,25,18,19,24
571,18,25,20,25
572,25,20,23,19
573,24,19,19,20
574,21,18,20,24
575,19,24,24,21
576,21,24,19,24
577,23,22,24,25
578,18,18,23,20
579,22,24,18,25
580,18,20,21,21
581,23,23,18,24
582,18,23,18,20
583,19,20,19,18
584,19,22,25,23
585,25,25,25,18
586,20,23,25,21
587,25,23,23,25
588,21,25,21,25
589,21,25,23,19
590,20,22,22,21
591,18,24,22,19
592,25,24,18,23
593,21,19,25,23
594,20,20,18,22
595,18,22,21,21
596,24,22,19,23
597,19,19,23,24
598,23,21,22,20
599,18,24,19,19
600,25,25,22,25
601,22,23,24,23
602,25,22,24,19
603,25,19,24,23
604,25,21,18,21
605,23,20,19,19
606,18,25,22,22
607,22,18,20,21
608,23,24,19,25
609,25,20,21,24
610,23,25,19,24
611,19,25,22,21
612,23,24,21,18
613,25,18,19,25
614,21,21,20,22
615,20,23,18,20
616,21,22,23,25
617,19,23,20,18
618,18,25,25,23
619,18,19,20,21
620,22,23,22,20
621,22,20,23,22
622,22,18,24,25
623,19,23,23,18
624,25,24,25,18
625,22,25,20,24
626,20,24,23,25
627,19,24,24,19
628,22,23,19,24
629,20,18,18,21
630,19,18,25,22
631,21,21,20,20
632,19,22,24,25
633,18,24,25,18
634,18,20,20,19
635,19,21,21,23
636,19,19,24,24
637,22,19,19,25
638,24,21,19,24
639,20,24,19,21
640,22,24,24,21
641,24,22,18,23
642,20,24,25,22
643,20,19,18,18
644,19,20,22,23
645,20,23,24,23
646,22,18,19,25
647,24,21,25,24
648,18,22,22,19
649,21,22,25,25
650,19,18,19,23
651,25,24,25,24
652,25,22,18,21
653,18,22,21,19
654,23,24,23,25
655,18,18,19,24
656,23,23,25,25
657,23,25,22,24
658,21,24,21,18
659,18,23,24,19
660,21,21,22,22
661,18,24,18,25
662,20,24,20,24
663,24,19,24,24
664,24,21,24,23
665,21,25,24,25
666,19,19,23,18
667,19,22,25,24
668,25,19,25,23
669,24,22,25,24
670,21,24,19,23
671,20,18,18,25
672,22,22,25,20
673,21,25,21,19
674,25,22,23,22
675,23,19,18,24
676,25,21,19,23
677,21,22,22,20
678,25,19,19,19
679,18,22,19,19
680,25,20,25,19
681,23,19,18,25
682,20,19,21,21
683,18,19,22,25
684,22,19,23,24
685,25,24,21,22
686,19,22,25,23
687,20,23,19,25
688,21,25,25,22
689,22,19,23,20
690,20,23,18,20
691,20,18,19,18
692,25,20,25,20
693,22,24,18,18
694,22,24,25,20
695,21,20,22,23
696,20,24,19,23
697,24,22,20,19
698,21,18,20,22
699,21,23,22,20
700,23,23,21,25
701,24,24,22,25
702,23,25,21,22
703,20,25,23,23
704,22,22,23,25
705,22,19,24,20
706,21,18,25,21
707,25,19,25,24
708,25,25,23,24
709,24,22,24,24
710,23,20,19,25
711,25,21,25,18
712,20,19,25,24
713,25,19,25,19
714,21,24,20,19
715,18,24,22,22
716,22,18,18,24
717,24,22,21,21
718,25,19,20,25
719,20,23,22,21
720,23,20,23,25
721,24,18,22,24
722,24,18,25,18
723,20,23,20,25
724,25,21,22,20
725,21,19,24,21
726,25,18,19,24
727,19,20,25,25
728,25,21,24,25
729,22,18,21,21
730,23,22,25,19
731,23,19,23,18
732,20,20,20,23
733,21,23,22,22
734,18,23,20,23
735,18,20,21,19
736,19,24,25,19
737,24,19,25,25
738,23,20,20,23
739,20,18,25,23
740,23,24,20,24
741,24,24,25,22
742,25,18,21,22
743,22,24,21,23
744,25,25,23,25
745,18,23,24,23
746,22,20,24,23
747,24,23,24,20
748,22,24,25,18
749,20,21,18,20
750,23,21,24,19
751,23,20,23,19
752,25,20,19,24
753,21,19,18,24
754,21,19,18,25
755,18,18,19,23
756,20,21,24,22
757,19,18,19,22
758,23,21,18,18
759,21,19,20,25
760,18,22,23,20
761,18,25,21,21
762,19,19,23,20
763,24,24,19,20
764,25,19,25,22
765,25,24,22,23
766,22,21,24,18
767,25,21,18,24
768,19,24,20,19
769,22,22,18,19
770,22,22,21,18
771,24,25,20,20
772,22,18,24,25
773,18,24,19,18
774,21,23,19,22
775,23,18,21,18
776,20,25,25,20
777,18,20,20,24
778,21,20,25,22
779,19,24,20,20
780,21,23,20,22
781,25,21,18,25
782,23,19,23,18
783,21,24,22,22
784,23,19,21,23
785,23,24,22,25
786,20,22,19,20
787,20,22,18,24
788,20,18,23,20
789,19,25,24,25
790,18,23,25,19
791,22,25,24,21
792,20,24,22,22
793,19,25,25,23
794,21,25,22,18
795,25,23,22,23
796,23,19,25,20
797,20,24,19,23
798,18,23,22,22
799,21,23,21,18
