,0,1,2
162,18,21,21
163,25,22,25
164,23,23,18
165,24,18,23
166,24,19,23
167,21,22,24
168,24,21,22
169,21,25,20
170,25,20,23
171,21,22,24
172,18,18,19
173,20,19,22
174,25,18,18
175,22,23,19
176,21,19,21
177,25,23,20
178,18,19,24
179,20,19,19
180,25,22,25
181,19,24,21
182,21,24,23
183,25,19,22
184,19,25,24
185,24,19,22
186,19,18,21
187,21,21,22
188,21,25,19
189,23,18,24
190,19,25,21
191,22,20,22
192,19,24,23
193,22,21,23
194,24,19,23
195,21,25,23
196,20,19,19
197,21,24,23
198,22,25,20
199,20,18,25
200,23,20,24
201,21,21,19
202,20,21,20
203,19,23,25
204,23,19,23
205,19,22,19
206,24,20,23
207,21,18,23
208,22,22,25
209,22,18,18
210,21,21,18
211,19,18,19
212,25,25,25
213,20,19,23
214,24,22,24
215,23,20,21
216,18,20,23
217,21,19,21
218,21,21,25
219,24,19,25
220,24,25,18
221,22,20,22
222,25,21,23
223,18,25,22
224,24,24,18
225,23,22,20
226,19,19,20
227,22,21,21
228,21,24,25
229,25,25,24
230,20,22,22
231,22,23,20
232,18,23,18
233,18,23,19
234,25,20,25
235,25,21,19
236,25,24,23
237,23,23,22
238,21,20,24
239,23,21,19
240,21,20,18
241,24,24,19
242,22,24,21
243,24,18,19
244,25,23,18
245,18,21,21
246,18,21,20
247,25,25,22
248,20,22,18
249,20,18,21
250,24,19,22
251,24,25,25
252,21,18,21
253,21,18,18
254,24,23,20
255,20,22,22
256,23,18,18
257,25,25,22
258,23,21,21
259,21,22,25
260,24,23,18
261,21,21,25
262,23,21,22
263,18,18,24
264,20,24,18
265,24,22,24
266,19,19,24
267,18,22,19
268,19,23,21
269,23,18,21
270,25,24,25
271,22,20,22
272,23,18,24
273,25,22,23
274,25,23,24
275,18,25,23
276,18,18,23
277,20,25,19
278,22,23,21
279,22,18,23
280,23,25,25
281,24,20,18
282,25,21,24
283,23,22,18
284,20,24,21
285,21,23,18
286,25,22,19
287,20,21,25
288,19,19,24
289,19,18,19
290,24,22,24
291,20,24,18
292,19,22,22
293,22,24,19
294,23,20,25
295,18,23,19
296,19,19,24
297,23,19,25
298,18,25,25
299,20,21,20
300,22,19,22
301,23,21,24
302,25,23,25
303,20,22,23
304,25,25,18
305,19,24,22
306,19,18,23
307,18,25,25
308,25,19,21
309,19,25,20
310,24,24,20
311,22,20,25
312,19,24,20
313,20,19,22
314,22,22,18
315,25,18,20
316,21,21,24
317,22,24,24
318,18,20,22
319,22,23,23
320,25,18,22
321,22,23,18
322,21,23,18
323,23,24,23
324,21,21,20
325,25,22,23
326,24,22,25
327,20,23,25
328,18,25,23
329,20,19,21
330,21,21,24
331,25,19,22
332,24,24,18
333,18,21,19
334,23,21,21
335,20,21,19
336,21,18,25
337,20,25,20
338,22,25,20
339,22,21,25
340,18,24,21
341,24,19,24
342,20,23,19
343,24,18,21
344,23,23,25
345,18,21,18
346,23,19,24
347,24,20,22
348,25,22,24
349,21,24,18
350,20,25,24
351,25,22,19
352,18,25,23
353,18,24,24
354,25,22,24
355,23,22,20
356,22,21,20
357,22,19,23
358,25,18,19
359,20,22,24
360,21,19,25
361,22,22,18
362,19,19,18
363,18,19,24
364,24,21,25
365,24,21,25
366,20,22,24
367,24,20,20
368,19,23,23
369,23,24,18
370,20,24,24
371,22,24,24
372,20,23,18
373,18,19,19
374,18,20,20
375,23,20,24
376,21,19,18
377,24,21,21
378,19,22,24
379,23,18,19
380,23,19,19
381,20,22,21
382,20,19,23
383,22,25,25
384,24,22,22
385,21,21,25
386,25,19,19
387,21,19,25
388,21,24,19
389,20,20,20
390,18,23,25
391,22,18,19
392,22,21,25
393,18,21,19
394,18,24,24
395,25,23,22
396,22,23,23
397,24,22,25
398,19,24,24
399,22,25,20
400,21,25,22
401,25,18,25
402,18,24,21
403,22,23,18
404,25,19,23
405,18,21,18
406,25,22,25
407,22,19,18
408,23,21,19
409,19,19,25
410,24,24,24
411,20,21,18
412,24,22,25
413,21,19,23
414,19,18,24
415,18,20,24
416,20,21,21
417,18,23,23
418,21,21,22
419,24,22,23
420,21,19,20
421,23,22,19
422,24,21,19
423,21,21,25
424,25,25,20
425,20,24,24
426,25,20,18
427,24,21,23
428,24,23,24
429,18,20,21
430,21,23,21
431,19,23,25
432,19,24,21
433,24,22,21
434,25,20,24
435,18,21,19
436,18,20,24
437,24,21,20
438,18,20,22
439,22,21,20
440,20,22,18
441,20,22,23
442,19,22,20
443,20,23,21
444,24,24,23
445,21,24,25
446,23,24,19
447,25,18,20
448,21,22,25
449,25,23,19
450,18,19,21
451,25,20,21
452,25,20,24
453,22,24,21
454,21,19,19
455,24,24,21
456,23,20,18
457,25,20,24
458,22,25,25
459,20,21,23
460,25,20,24
461,24,22,19
462,19,24,22
463,18,24,21
464,18,20,25
465,23,22,24
466,19,21,20
467,18,21,21
468,23,21,18
469,20,21,24
470,24,19,23
471,25,20,22
472,21,22,24
473,24,22,18
474,25,23,19
475,24,19,24
476,19,22,24
477,24,21,23
478,18,21,18
479,21,19,25
480,19,25,21
481,24,25,22
482,24,22,25
483,23,20,25
484,19,20,20
485,20,21,18
486,19,24,25
487,20,19,18
488,21,18,18
489,19,21,18
490,22,19,25
491,18,22,18
492,22,21,24
493,23,20,24
494,21,18,25
495,20,22,25
496,23,22,22
497,18,19,22
498,24,22,25
499,21,23,23
500,23,22,18
501,25,25,25
502,22,24,18
503,22,23,23
504,21,19,18
505,23,25,23
506,19,20,19
507,21,21,22
508,20,19,24
509,23,24,21
510,20,22,22
511,20,22,18
512,25,25,21
513,25,19,24
514,22,23,19
515,22,21,22
516,25,18,19
517,20,22,24
518,20,18,25
519,20,25,22
520,24,20,24
521,25,19,22
522,23,25,25
523,18,25,25
524,20,21,22
525,22,20,21
526,20,25,21
527,19,20,24
528,21,24,19
529,21,22,23
530,20,25,25
531,22,23,24
532,24,24,20
533,22,24,19
534,24,21,19
535,25,25,21
536,23,21,18
537,19,20,18
538,25,21,20
539,22,23,21
540,24,19,21
541,24,21,23
542,18,21,23
543,24,19,23
544,22,20,22
545,21,24,20
546,24,24,24
547,23,21,23
548,25,21,24
549,25,19,20
550,24,18,21
551,23,24,24
552,22,24,21
553,22,24,18
554,20,24,19
555,23,19,19
556,25,20,24
557,18,18,21
558,21,22,20
559,19,24,20
560,20,25,19
561,22,19,21
562,24,20,25
563,23,25,18
564,20,24,23
565,25,18,23
566,19,18,22
567,20,21,18
568,18,24,23
569,24,22,25
570,22,25,25
571,23,19,18
572,19,23,24
573,21,20,18
574,21,23,18
575,19,24,18
576,23,23,25
577,18,19,22
578,18,19,22
579,25,18,18
580,22,18,23
581,20,23,25
582,25,23,20
583,24,19,22
584,21,21,24
585,23,25,19
586,22,22,21
587,24,20,18
588,20,18,19
589,25,24,22
590,25,21,25
591,19,19,22
592,25,22,23
593,21,21,24
594,25,18,20
595,25,24,23
596,24,20,20
597,23,18,20
598,25,19,25
599,23,25,18
600,25,20,19
601,22,23,19
602,19,19,22
603,20,20,23
604,23,25,25
605,23,22,20
606,25,19,19
607,24,21,23
608,19,23,25
609,20,18,22
610,18,18,21
611,21,19,22
612,23,21,21
613,25,25,23
614,23,20,22
615,24,22,24
616,20,21,25
617,20,18,20
618,18,21,22
619,21,25,24
620,18,24,23
621,18,25,25
622,22,21,20
623,22,22,24
624,22,21,20
625,18,21,22
626,25,25,23
627,21,23,18
628,20,19,19
629,20,25,21
630,23,24,23
631,20,25,25
632,25,20,22
633,21,23,21
634,24,19,25
635,21,18,18
636,23,23,24
637,18,22,19
638,21,23,22
639,25,20,20
640,21,18,23
641,25,23,19
642,24,20,24
643,20,23,23
644,24,24,23
645,18,19,20
646,25,25,23
647,19,25,23
648,23,25,23
649,25,19,24
650,24,21,24
651,23,24,21
652,19,25,24
653,23,21,21
654,19,22,21
655,25,25,23
656,20,22,25
657,22,19,18
658,21,22,24
659,24,19,25
660,18,22,18
661,24,21,19
662,22,24,21
663,21,18,25
664,19,25,20
665,24,25,21
666,22,20,18
667,22,23,23
668,19,21,23
669,20,19,21
670,23,23,21
671,22,20,24
672,20,25,22
673,20,23,21
674,18,19,20
675,23,18,21
676,24,18,25
677,23,18,21
678,23,25,20
679,20,22,18
680,20,22,24
681,20,18,22
682,18,21,22
683,24,18,20
684,20,24,25
685,23,25,23
686,22,24,25
687,22,24,18
688,23,21,22
689,20,24,18
690,25,24,20
691,22,25,24
692,23,21,23
693,23,21,21
694,18,18,19
695,23,25,24
696,24,24,23
697,23,20,22
698,22,25,19
699,20,25,19
700,21,19,18
701,21,21,19
702,24,21,24
703,23,22,18
704,23,23,25
705,18,24,18
706,23,21,20
707,20,20,20
708,21,20,23
709,21,19,18
710,18,20,18
711,22,19,25
712,19,24,19
713,24,25,22
714,21,24,23
715,24,23,24
716,24,24,18
717,24,21,18
718,25,25,21
719,23,25,25
720,23,18,19
721,21,18,21
722,18,25,20
723,22,25,21
724,22,18,20
725,25,19,18
726,18,20,18
727,25,18,22
728,24,22,20
729,25,18,25
730,21,22,23
731,20,20,23
732,22,24,19
733,20,24,22
734,23,21,19
735,18,18,25
736,25,21,21
737,21,21,25
738,25,21,23
739,24,24,22
740,23,20,21
741,23,22,18
742,23,25,25
743,24,21,23
744,19,18,20
745,18,24,20
746,19,24,23
747,23,25,20
748,18,18,22
749,25,21,21
750,22,18,22
751,25,25,19
752,22,19,21
753,21,18,24
754,19,18,19
755,21,24,22
756,24,25,24
757,21,21,19
758,25,18,21
759,19,21,18
760,25,25,23
761,25,19,25
762,20,25,20
763,19,25,21
764,25,20,18
765,25,25,21
766,18,21,20
767,25,19,19
768,22,21,20
769,23,25,23
770,18,18,20
771,25,19,25
772,21,19,25
773,22,21,22
774,19,23,24
775,23,24,18
776,21,25,25
777,20,25,19
778,23,25,23
779,24,18,23
780,22,18,23
781,20,23,19
782,25,22,22
783,19,24,18
784,25,21,19
785,23,25,18
786,21,20,23
787,22,18,20
788,23,19,25
789,24,24,22
790,25,18,25
791,22,21,18
792,21,23,25
793,21,21,18
794,19,21,20
795,22,24,19
796,18,25,22
797,19,19,25
798,19,20,20
799,20,18,18
