,0,1,2,3,4
110,21,23,23,22,19
111,25,22,21,18,19
112,21,23,23,25,20
113,23,20,21,20,20
114,25,24,18,19,25
115,21,22,19,21,19
116,18,21,22,23,24
117,20,23,20,22,25
118,20,18,20,19,19
119,22,19,25,25,22
120,21,23,20,20,22
121,20,23,21,24,19
122,24,25,19,22,18
123,19,25,23,22,18
124,21,18,22,25,20
125,20,19,22,21,24
126,18,25,20,19,24
127,20,23,23,20,20
128,18,24,22,18,22
129,23,23,18,18,22
130,19,24,18,21,18
131,25,24,21,22,19
132,25,25,20,23,20
133,18,25,25,22,22
134,21,20,19,25,22
135,18,24,25,24,22
136,18,18,19,19,18
137,20,18,25,18,20
138,19,20,25,19,19
139,24,22,23,23,22
140,22,23,23,23,23
141,22,24,20,20,23
142,18,24,23,22,23
143,20,23,23,22,20
144,25,21,22,22,19
145,24,20,24,21,23
146,22,22,25,25,22
147,24,25,24,24,20
148,21,19,24,20,21
149,25,22,18,21,23
150,20,24,24,24,22
151,25,22,18,23,25
152,23,21,18,20,18
153,25,23,18,23,22
154,18,21,19,25,21
155,24,18,18,24,19
156,22,18,21,21,25
157,22,20,25,21,22
158,19,22,22,25,19
159,18,18,19,20,18
160,21,20,20,25,23
161,20,22,24,18,25
162,23,18,22,22,18
163,24,24,25,22,20
164,22,22,25,22,19
165,22,19,24,18,24
166,22,25,20,24,23
167,20,20,23,18,23
168,25,21,24,21,20
169,20,24,21,24,22
170,21,19,25,24,23
171,23,18,23,18,20
172,22,20,22,24,18
173,24,21,18,25,20
174,24,24,23,24,24
175,25,25,25,22,24
176,22,24,19,19,21
177,23,22,24,19,24
178,23,21,22,21,24
179,24,25,23,23,21
180,20,21,23,18,19
181,21,25,22,25,24
182,22,21,18,21,19
183,21,21,23,22,24
184,22,25,23,20,23
185,23,22,22,23,21
186,18,21,25,24,24
187,24,21,25,20,20
188,24,23,18,20,21
189,18,20,18,22,21
190,25,23,24,23,24
191,21,24,20,19,18
192,19,19,18,20,20
193,22,25,18,24,23
194,24,21,22,24,25
195,25,20,25,24,23
196,18,22,22,24,18
197,25,19,23,23,20
198,21,21,22,19,24
199,23,19,18,22,19
200,22,19,24,22,21
201,20,21,25,21,23
202,25,24,23,19,20
203,25,23,21,25,23
204,24,25,19,20,23
205,20,22,18,25,19
206,21,18,21,22,19
207,22,21,21,19,22
208,21,19,25,20,20
209,18,25,25,23,20
210,23,24,21,21,18
211,19,25,21,22,19
212,22,22,20,25,21
213,18,21,18,21,24
214,20,23,23,24,22
215,19,20,19,18,25
216,22,23,18,25,18
217,24,24,20,21,23
218,22,19,23,24,23
219,22,23,18,20,19
220,21,24,21,20,20
221,23,18,18,25,20
222,23,22,22,18,20
223,18,20,19,22,24
224,23,20,21,19,19
225,20,18,21,18,21
226,24,18,22,20,24
227,25,25,19,19,23
228,19,20,21,22,21
229,23,22,21,21,21
230,19,21,24,24,19
231,18,25,22,23,22
232,25,19,19,23,25
233,22,23,18,21,25
234,22,18,18,19,19
235,21,21,24,20,20
236,22,25,22,25,22
237,24,18,21,24,22
238,23,21,19,18,20
239,20,24,24,20,20
240,18,18,20,23,18
241,24,24,25,24,19
242,19,18,18,21,20
243,23,21,21,22,18
244,23,18,18,18,22
245,20,19,23,21,23
246,22,21,25,21,20
247,22,22,24,21,25
248,24,25,25,23,20
249,24,24,18,19,20
250,20,25,18,21,18
251,25,19,21,18,20
252,22,22,18,19,21
253,18,22,19,23,24
254,18,20,24,18,24
255,24,24,22,22,24
256,22,23,23,21,21
257,25,18,22,19,19
258,23,23,25,24,25
259,23,18,22,19,19
260,18,19,21,23,25
261,24,23,18,25,18
262,22,18,18,20,21
263,25,18,18,18,24
264,25,23,20,21,22
265,21,21,20,25,24
266,25,24,18,25,25
267,25,23,20,25,19
268,19,18,20,20,24
269,18,21,19,20,22
270,23,21,21,23,20
271,24,24,19,18,21
272,24,23,18,20,24
273,20,20,25,20,23
274,22,22,18,18,25
275,24,25,25,24,18
276,18,24,19,23,25
277,19,22,18,25,23
278,25,25,22,21,19
279,18,19,18,25,22
280,22,19,18,24,21
281,24,18,23,20,18
282,19,19,23,24,20
283,24,18,21,23,21
284,18,23,20,20,23
285,20,23,25,20,24
286,24,24,18,19,24
287,24,23,20,22,24
288,20,24,18,19,22
289,25,18,18,18,22
290,21,20,21,24,24
291,19,25,21,24,24
292,18,20,20,19,20
293,25,18,19,19,19
294,18,20,25,24,21
295,19,24,25,25,22
296,19,20,23,24,23
297,21,19,23,22,21
298,19,19,25,24,21
299,23,19,23,21,18
300,21,19,18,22,23
301,25,23,22,25,25
302,19,24,20,23,25
303,25,22,23,23,22
304,24,20,23,23,25
305,25,25,23,22,19
306,21,18,24,20,18
307,23,23,23,22,20
308,18,22,22,21,22
309,22,21,20,19,21
310,24,23,19,22,25
311,19,25,18,25,21
312,25,21,18,18,22
313,22,19,22,19,20
314,22,22,19,24,21
315,19,19,25,21,23
316,22,20,25,20,23
317,24,24,20,22,21
318,24,24,19,19,18
319,23,23,21,19,19
320,24,24,23,18,25
321,21,24,19,19,23
322,18,23,23,25,22
323,25,25,21,20,22
324,18,20,23,23,20
325,22,25,20,22,25
326,24,25,22,22,24
327,23,21,21,22,22
328,24,20,21,19,24
329,21,22,18,23,20
330,21,21,21,24,18
331,20,20,18,22,20
332,23,19,19,20,18
333,23,24,22,24,18
334,19,24,24,23,25
335,22,23,25,20,23
336,21,22,20,25,20
337,18,24,24,20,23
338,19,20,22,24,22
339,23,23,19,21,25
340,21,22,19,23,20
341,25,21,23,23,21
342,19,20,23,23,20
343,23,25,23,24,22
344,24,24,23,22,22
345,19,25,22,23,20
346,18,25,21,25,19
347,18,23,22,25,18
348,22,19,19,20,21
349,18,19,22,24,25
350,23,22,18,25,18
351,20,23,19,24,18
352,23,21,25,24,18
353,20,25,20,19,23
354,23,25,19,21,22
355,18,20,21,18,22
356,23,18,18,19,24
357,19,20,23,18,19
358,19,18,19,23,22
359,23,24,22,20,23
360,25,23,20,19,22
361,18,23,21,19,24
362,20,24,18,23,18
363,19,23,21,18,20
364,20,24,22,21,24
365,25,24,19,25,25
366,25,22,22,19,20
367,19,20,19,21,22
368,21,22,21,22,20
369,25,21,24,25,25
370,23,24,20,24,18
371,22,18,24,19,18
372,24,23,25,25,23
373,22,19,20,21,23
374,18,23,21,23,25
375,19,21,21,19,18
376,20,21,22,24,24
377,22,24,20,19,25
378,24,21,19,25,20
379,22,24,19,19,23
380,24,21,22,22,25
381,19,25,18,21,23
382,18,21,21,22,23
383,22,23,25,20,25
384,23,18,19,24,21
385,19,25,23,20,25
386,25,18,22,23,20
387,18,21,22,18,20
388,24,25,23,23,22
389,24,24,20,25,23
390,20,24,18,24,19
391,19,22,23,20,19
392,23,21,22,21,23
393,23,22,19,19,21
394,25,21,21,22,22
395,24,24,18,23,18
396,22,18,25,18,19
397,25,23,25,25,19
398,24,23,21,25,23
399,22,18,23,20,24
400,19,21,25,20,19
401,21,21,21,21,22
402,25,19,21,25,23
403,21,18,22,23,25
404,20,21,19,24,21
405,18,23,18,22,18
406,20,22,21,20,22
407,22,24,19,22,19
408,18,19,20,25,25
409,21,18,20,18,18
410,23,18,24,24,18
411,22,20,25,25,23
412,18,23,23,19,24
413,23,23,21,25,23
414,19,24,18,18,25
415,25,22,24,25,23
416,18,22,22,22,24
417,23,21,24,23,21
418,25,23,25,19,24
419,23,20,19,22,21
420,24,24,22,23,24
421,22,19,22,21,25
422,23,21,24,22,21
423,20,21,24,18,21
424,23,24,19,22,18
425,20,22,19,20,19
426,18,22,25,21,22
427,21,23,22,23,22
428,19,21,20,19,24
429,21,20,19,19,19
430,25,24,18,18,24
431,18,18,18,21,24
432,22,18,21,22,21
433,24,25,21,20,22
434,19,20,21,20,24
435,20,19,19,22,20
436,22,19,22,23,21
437,25,18,19,20,23
438,20,18,20,19,21
439,18,21,21,18,19
440,20,20,21,20,21
441,19,22,24,20,25
442,24,20,23,20,18
443,23,19,21,19,25
444,25,23,25,22,18
445,21,18,19,21,21
446,21,21,24,18,18
447,22,19,19,18,24
448,21,22,22,20,24
449,18,18,24,23,20
450,22,25,18,24,22
451,21,23,21,24,22
452,19,20,23,18,25
453,21,20,19,25,23
454,19,19,22,21,18
455,19,24,24,24,20
456,22,25,19,21,23
457,23,23,24,25,18
458,25,24,24,20,20
459,25,22,23,25,18
460,20,25,23,22,21
461,22,22,22,18,19
462,22,18,24,25,22
463,21,25,19,24,23
464,21,25,23,21,18
465,22,25,24,21,19
466,19,23,23,18,21
467,20,20,24,21,19
468,18,25,19,19,18
469,20,21,20,19,20
470,24,18,20,21,18
471,21,18,24,20,25
472,20,24,21,23,24
473,21,23,22,21,22
474,20,22,19,21,21
475,25,22,23,25,20
476,24,21,24,21,18
477,18,20,19,19,25
478,23,18,20,21,23
479,22,23,23,23,25
480,21,22,20,19,23
481,25,24,25,21,22
482,20,24,20,19,18
483,22,22,22,20,25
484,19,23,18,22,23
485,21,19,18,25,24
486,21,20,25,24,20
487,22,23,21,19,22
488,19,18,24,22,19
489,25,22,23,24,23
490,23,20,25,21,23
491,24,23,18,21,21
492,22,18,22,24,18
493,25,18,22,21,21
494,20,19,18,22,22
495,24,23,25,24,21
496,21,19,25,23,18
497,20,20,20,21,18
498,20,19,19,21,25
499,24,24,25,24,18
500,24,19,21,25,19
501,18,21,25,25,25
502,20,18,19,20,23
503,20,25,19,23,20
504,25,21,22,22,22
505,18,24,24,24,24
506,24,18,20,18,22
507,23,24,24,24,21
508,18,21,25,22,25
509,19,22,25,24,22
510,22,23,22,25,20
511,25,25,22,20,25
512,18,21,23,24,25
513,19,25,19,18,21
514,23,23,24,18,20
515,21,23,25,22,22
516,22,22,19,18,19
517,20,19,21,25,21
518,19,23,23,25,23
519,18,18,25,23,21
520,22,18,23,21,24
521,22,21,19,19,24
522,23,23,18,20,22
523,22,18,20,19,25
524,25,23,19,21,19
525,20,20,19,22,23
526,21,18,23,20,24
527,19,22,22,18,22
528,20,24,25,21,22
529,24,22,18,19,25
530,24,18,21,22,20
531,22,25,24,19,24
532,19,23,21,25,18
533,19,24,19,18,19
534,20,22,25,20,23
535,24,24,20,25,25
536,21,24,19,23,23
537,21,24,18,19,19
538,20,19,25,22,24
539,18,21,19,24,18
540,20,20,20,20,25
541,20,19,23,18,25
542,24,22,19,21,21
543,21,18,19,21,21
544,21,25,19,18,19
545,18,24,25,23,19
546,20,22,21,18,24
547,20,20,25,23,24
548,22,19,19,22,19
549,23,21,18,25,25
550,22,23,25,21,21
551,23,25,23,24,22
552,20,21,22,24,19
553,18,21,20,18,23
554,19,18,21,23,23
555,20,18,25,20,24
556,20,18,21,18,18
557,19,21,19,21,24
558,19,24,20,23,24
559,20,18,22,18,19
560,20,22,21,21,24
561,21,21,24,23,25
562,20,25,24,22,22
563,19,22,24,20,19
564,22,18,20,23,23
565,20,22,22,19,22
566,18,18,24,23,18
567,19,18,25,20,21
568,21,18,18,24,18
569,25,23,19,24,24
570,22,20,19,18,18
571,18,25,20,22,22
572,23,21,25,25,18
573,24,19,25,20,18
574,25,20,19,22,24
575,20,22,24,25,24
576,18,19,19,20,22
577,21,25,18,19,18
578,18,23,22,23,21
579,22,20,21,23,23
580,22,20,21,18,23
581,24,20,19,18,25
582,23,21,21,24,21
583,25,25,22,18,23
584,20,20,24,20,21
585,23,19,19,24,23
586,23,18,19,22,22
587,24,18,18,19,20
588,19,18,25,22,21
589,23,25,23,19,19
590,19,21,21,23,23
591,25,23,24,24,25
592,22,22,23,25,20
593,21,19,25,25,20
594,25,20,24,24,20
595,20,25,19,22,19
596,22,22,21,19,22
597,23,25,23,20,22
598,22,22,24,19,23
599,20,22,22,24,21
